Wvl.,Ref. Rad. [μW/cm^2/sr/nm],Bai,,Wvl.,Ref. Rad. [μW/cm^2/sr/nm],Mengqi
766,0.107336,,,766,2.78932,
767,0.103314,,,767,2.71413,
768,0.100148,,,768,2.63277,
769,0.0977857,,,769,2.55351,
770,0.09551,,,770,2.47316,
771,0.0925733,,,771,2.38929,
772,0.0899048,,,772,2.32257,
773,0.0881543,,,773,2.25615,
774,0.0855955,,,774,2.18564,
775,0.0824797,,,775,2.11387,
776,0.0804818,,,776,2.04927,
777,0.0784072,,,777,1.99878,
778,0.0765824,,,778,1.94084,
779,0.0745905,,,779,1.88264,
780,0.0724382,,,780,1.82892,
781,0.0706625,,,781,1.77592,
782,0.0687146,,,782,1.71963,
783,0.0659933,,,783,1.66964,
784,0.0635943,,,784,1.6183,
785,0.0622848,,,785,1.56342,
786,0.0613727,,,786,1.51849,
787,0.0598885,,,787,1.46705,
788,0.0575875,,,788,1.42625,
789,0.055714,,,789,1.38453,
790,0.0548296,,,790,1.33699,
791,0.0536286,,,791,1.30121,
792,0.052221,,,792,1.26102,
793,0.0500086,,,793,1.22762,
794,0.0485781,,,794,1.19468,
795,0.0485884,,,795,1.158,
796,0.048034,,,796,1.12403,
797,0.045199,,,797,1.08637,
798,0.0439834,,,798,1.05526,
799,0.0434914,,,799,1.02771,
800,0.0419738,,,800,0.99758,
801,0.0388596,,,801,0.96044,
802,0.0395138,,,802,0.931091,
803,0.0385744,,,803,0.903403,
804,0.0367397,,,804,0.876882,
805,0.0357462,,,805,0.852149,
806,0.0361126,,,806,0.828884,
807,0.033835,,,807,0.79934,
808,0.0338132,,,808,0.773009,
809,0.0334158,,,809,0.750195,
810,0.0326692,,,810,0.729392,
811,0.0322882,,,811,0.709647,
812,0.0305323,,,812,0.692414,
813,0.0308146,,,813,0.674745,
814,0.0296096,,,814,0.65232,
815,0.0284667,,,815,0.631664,
816,0.0282597,,,816,0.61624,
817,0.0279097,,,817,0.603157,
818,0.0275683,,,818,0.578625,
819,0.0273041,,,819,0.56925,
820,0.0264333,,,820,0.551356,
821,0.0259551,,,821,0.529769,
822,0.0262168,,,822,0.517854,
823,0.0250552,,,823,0.509886,
824,0.02395,,,824,0.495856,
825,0.0232759,,,825,0.482898,
826,0.0227263,,,826,0.469586,
827,0.0220658,,,827,0.454808,
828,0.02148,,,828,0.440381,
829,0.0216268,,,829,0.431251,
830,0.0218127,,,830,0.422272,
831,0.0213683,,,831,0.407575,
832,0.0206652,,,832,0.398734,
833,0.0199926,,,833,0.393171,
834,0.0194233,,,834,0.377748,
835,0.0196611,,,835,0.369125,
836,0.0190191,,,836,0.360161,
837,0.019013,,,837,0.350953,
838,0.0187617,,,838,0.341188,
839,0.0182896,,,839,0.333572,
840,0.0183905,,,840,0.32957,
841,0.017691,,,841,0.31988,
842,0.0189792,,,842,0.317558,
843,0.0169002,,,843,0.301217,
844,0.0158046,,,844,0.297243,
845,0.0166341,,,845,0.293178,
846,0.017293,,,846,0.276345,
847,0.0154847,,,847,0.273642,
848,0.0156715,,,848,0.277634,
849,0.0157799,,,849,0.267331,
850,0.0169085,,,850,0.260958,
851,0.0166393,,,851,0.257616,
852,0.0149143,,,852,0.254145,
853,0.0143666,,,853,0.250916,
854,0.0146937,,,854,0.247857,
855,0.0137967,,,855,0.23648,
856,0.0146957,,,856,0.230274,
857,0.0162747,,,857,0.231201,
858,0.01647,,,858,0.229429,
859,0.0151807,,,859,0.221043,
860,0.014318,,,860,0.213737,
